gameID,title,minPlayers,maxPlayers,maxPlaytime,minPlaytime,yearPublished
G001,"12 Days",3,5,15,15,2011
G002,"5-Minute Marvel",2,5,5,5,2018
G003,"7 Wonders",2,7,30,30,2010
G004,"7 Wonders Duel",2,2,30,30,2015
G005,"7 Wonders: Architects",2,7,25,25,2021
G006,"Aargh!",2,4,20,20,2005
G007,"Abalone",2,2,30,30,1987
G008,"Abandon All Artichokes",2,4,20,20,2020
G009,"Abyss",2,4,60,30,2014
G010,"Acquire",2,6,90,90,1963
G011,"Adventure Land",2,4,45,45,2015
G012,"The Adventurers: The Temple of Chac",2,6,45,45,2009
G013,"Aeon's End: War Eternal",1,4,60,60,2017
G014,"Africana",2,4,60,60,2012
G015,"Airlines Europe",2,5,75,75,2011
G016,"Akropolis",1,4,30,20,2022
G017,"Akrotiri",2,2,45,45,2014
G018,"Aladdin's Dragons",3,5,90,60,2000
G019,"Alchemists",2,4,120,120,2014
G020,"Alea Iacta Est",2,5,60,60,2009
G021,"Alhambra",2,6,60,45,2003
G022,"Alien Frontiers",2,4,90,90,2010
G023,"Among the Stars",2,4,30,30,2012
G024,"Das Amulett",3,6,60,60,2001
G025,"Anima: Shadow of Omega",2,5,60,60,2006
G026,"Animals on Board",2,4,30,15,2016
G027,"Anomia",3,6,30,30,2010
G028,"Apples to Apples",4,10,30,20,1999
G029,"Arboretum",2,4,30,30,2015
G030,"Arcane Academy",2,4,45,30,2016
G031,"Archaeology: The Card Game",2,4,20,20,2007
G032,"Archaeology: The New Expedition",2,5,30,20,2016
G033,"Architects of the West Kingdom",1,5,80,60,2018
G034,"Arena: Roma II",2,2,45,30,2009
"Artifacts,"Inc."",2,4,60,60,2014
G035,"Asante",2,2,40,40,2013
G036,"Ascension: Storm of Souls",1,4,30,30,2011
G037,"At the Gates of Loyang",1,4,120,60,2009
G038,"Atlantis Rising",2,6,90,30,2012
G039,"Automania",2,4,90,60,2015
G040,"Azul",2,4,45,30,2017
G041,"Bacchus' Banquet",3,5,30,30,2008
G042,"Back to the Future: Back in Time",2,4,50,50,2020
G043,"Bad Company",1,6,30,30,2021
G044,"Bag of Chips",2,5,20,15,2021
G045,"Bandido",1,4,15,10,2016
G046,"BANG!",4,7,40,20,2002
G047,"BANG! The Dice Game",3,8,15,15,2013
G048,"BANG! The Dice Game",3,8,15,15,2013
G049,"Barbarossa",3,4,60,60,1988
G050,"Bargain Quest",2,6,60,30,2017
G051,"BasketBoss",2,5,50,50,2009
G052,"Battle Line",2,2,30,30,2000
G053,"Battle Merchants",2,4,120,120,2014
G054,"BattleCON: Fate of Indines",2,2,60,30,2015
G055,"Beasty Bar",2,4,20,20,2014
G056,"Beer!",2,6,0,0,2001
G057,"Belratti",3,7,25,25,2018
G058,"Betrayal at House on the Hill",3,6,60,60,2004
G059,"Between Two Cities",1,7,25,25,2015
G060,"Biblios",2,4,30,30,2007
G061,"Black Friday",2,5,55,55,2010
G062,"Blokus",2,4,20,20,2000
G063,"Blood Bound",6,12,30,30,2013
G064,"Blood Rage",2,4,90,60,2015
G065,"Bloodborne: The Card Game",3,5,45,30,2016
G066,"The Bloody Inn",1,4,60,30,2015
G067,"Blueprints",2,4,30,30,2013
G068,"Blueprints",2,4,30,30,2013
G069,"Boggle",1,8,10,10,1972
G070,"Bohnanza",2,7,45,45,1997
G071,"Bomb Busters",2,5,30,30,2024
G072,"Boss Monster: The Dungeon Building Card Game",2,4,30,30,2013
G073,"Bosworth",2,4,60,60,1998
G074,"Botswana",2,5,30,20,1994
G075,"Brass: Birmingham",2,4,120,60,2018
G076,"Bridge Troll",3,6,45,45,2009
G077,"Broom Service",2,5,75,30,2015
G078,"Bruges",2,4,60,60,2013
G079,"Brynk",2,99,30,15,2016
G080,"Buccaneer Bones",1,4,15,15,2013
G081,"Bunny Kingdom",2,4,60,40,2017
"But Wait,"There's More!"",3,10,30,30,2011
G082,"Butterfly Garden",2,4,30,30,2012
G083,"BuyWord",1,4,45,45,2004
G084,"Ca$h 'n Gun$",4,6,30,30,2005
G085,"Ca$h 'n Gun$: Live",8,20,30,30,2007
G086,"Camel Up",2,8,30,20,2014
G087,"Can't Stop",2,4,30,30,1980
G088,"The Capitals",2,5,120,120,2013
G089,"Captain Sonar",2,8,60,45,2016
G090,"Carcassonne",2,5,45,30,2000
G091,"Carcassonne",2,5,45,30,2000
G092,"The Card Game of Oz",1,4,20,20,2014
G093,"Cartographers",1,100,45,30,2019
G094,"Cascadia",1,4,45,30,2021
G095,"Castell",2,4,90,60,2018
G096,"Castle Combo",2,5,25,10,2024
G097,"Castle Dice",1,4,45,45,2013
G098,"Castle Panic",1,6,60,30,2009
G099,"The Castles of Burgundy",2,4,90,30,2011
G100,"Castles of Mad King Ludwig",1,4,90,90,2014
G101,"Cat Packs",1,4,45,30,2024
G102,"Caylus",2,5,150,60,2005
G103,"Century: Golem Edition",2,5,45,30,2017
G104,"Challengers!",1,8,45,45,2022
G105,"The Chameleon",3,8,15,15,2017
G106,"Chateau Roquefort",2,4,30,30,2007
G107,"Chimera Station",2,4,90,60,2017
G108,"Chinese Checkers",2,6,30,30,1893
G109,"Chronicles of Crime: 1400",1,4,90,60,2020
G110,"Chronicles of Crime: 1900",1,4,90,60,2021
G111,"Cinque Terre",2,5,60,60,2013
G112,"Citadels",2,8,60,20,2000
G113,"Citadels",2,8,60,20,2000
G114,"Clank!: A Deck-Building Adventure",2,4,60,30,2016
G115,"Clans of Caledonia",1,4,120,30,2017
G116,"Clue: The Card Game",3,5,45,45,2002
G117,"Cockroach Poker Royal",2,6,25,15,2012
G118,"Codenames",2,8,15,15,2015
G119,"Coimbra",2,4,90,60,2018
G120,"Coin & Crown",1,4,60,45,2018
G121,"Colony",1,4,60,45,2016
G122,"Colt Express",2,6,40,40,2014
G123,"Concept",4,12,40,40,2013
G124,"Concordia",2,5,100,100,2013
G125,"Connect Four",2,2,10,10,1974
G126,"Copycat",2,4,95,95,2012
G127,"Cottage Garden",1,4,60,60,2016
G128,"Council of Verona (Second Edition)",2,5,20,20,2014
G129,"Coup",2,6,15,15,2012
G130,"Coup: Rebellion G54",3,6,15,15,2014
G131,"Courtier",2,4,45,45,2012
G132,"Cranium",4,99,60,60,1998
G133,"Creature Caravan",1,4,90,60,2024
G134,"Creature Comforts",1,5,45,45,2022
G135,"Cretaceous Rails",1,4,120,30,2025
